"addr1";"addr2";"areacode";"booktour";"cat1";"cat2";"cat3";"contentid";"contenttypeid";"createdtime";"firstimage";"firstimage2";"cpyrhtDivCd";"mapx";"mapy";"mlevel";"modifiedtime";"sigungucode";"tel";"title";"zipcode";"visitNo"
"통영시 해평5길 142-16";"";"36";"0";"A02";"A0206";"A02060300";"1000981";"14";"20100419190806";"http://tong.visitkorea.or.kr/cms/resource/22/2367622_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/22/2367622_image3_1.jpg";"Type3";"128.4161841816";"34.8333722569";"6";"20230911201537";"17";"";"김춘수 유품전시관";"53072";0
"화성시 마도면 마도로 223-19";"";"31";"0";"A02";"A0203";"A02030100";"1004303";"12";"20100421231352";"http://tong.visitkorea.or.kr/cms/resource/36/2480936_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/36/2480936_image2_1.jpg";"Type3";"126.7299292187";"37.1872882726";"6";"20230316094132";"31";"";"또나따목장";"18544";0
"강남구 도산대로87길 25";"(청담동)";"1";"0";"A02";"A0206";"A02060500";"1005620";"14";"20100422233655";"http://tong.visitkorea.or.kr/cms/resource/98/1865698_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/98/1865698_image3_1.jpg";"Type3";"127.0501323005";"37.5263824203";"6";"20231204164150";"1";"";"갤러리 피치";"06012";0
"동구 충장대로 206 부산항 국제여객터미널";"";"6";"";"A02";"A0207";"A02070200";"1007868";"15";"20100426224739";"http://tong.visitkorea.or.kr/cms/resource/48/2988148_image2_1.png";"http://tong.visitkorea.or.kr/cms/resource/48/2988148_image3_1.png";"Type3";"129.0491742511";"35.1177852539";"6";"20240206130654";"5";"051-713-5000";"부산항축제";"48751";0
"용산구 양녕로 445 (이촌동)";"";"1";"";"A02";"A0207";"A02070200";"1008843";"15";"20100427185254";"http://tong.visitkorea.or.kr/cms/resource/12/2987512_image2_1.png";"http://tong.visitkorea.or.kr/cms/resource/12/2987512_image3_1.png";"Type3";"126.9580520415";"37.5177178854";"6";"20240419171427";"21";"02-537-7109";"서울드럼페스티벌";"04427";0
"단양군 단양읍 노동장현로 207-17";"";"33";"";"A03";"A0302";"A03021600";"1012493";"28";"20100430203430";"http://tong.visitkorea.or.kr/cms/resource/28/2022228_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/28/2022228_image3_1.jpg";"Type3";"128.3924523393";"36.9630277003";"6";"20230322131349";"2";"043-421-7766";"단양클레이사격장";"27024";0
"중구 남대문시장4길 21";"(남창동)";"1";"";"A04";"A0401";"A04010600";"1013076";"38";"20100501202613";"http://tong.visitkorea.or.kr/cms/resource/04/1015004_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/04/1015004_image3_1.jpg";"Type3";"126.9776518607";"37.5592134153";"6";"20231116170635";"24";"02-753-2805";"남대문 종합상가";"04529";0
"해운대구 센텀남대로 35";"";"6";"";"A04";"A0401";"A04010700";"1013112";"38";"20100501232458";"http://tong.visitkorea.or.kr/cms/resource/53/1016353_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/53/1016353_image3_1.jpg";"Type3";"129.1297464005";"35.1688671344";"6";"20230610074309";"16";"051-745-2319";"광주요";"48058";0
"제주시 관덕로14길 20";"";"39";"";"A04";"A0401";"A04010200";"1013246";"38";"20100503194230";"http://tong.visitkorea.or.kr/cms/resource/38/2678438_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/38/2678438_image3_1.jpg";"Type3";"126.5260587646";"33.5115624162";"6";"20240319154441";"4";"";"동문재래시장";"63192";0
"서귀포시 중앙로62번길 18";"";"39";"";"A04";"A0401";"A04010200";"1013258";"38";"20100503194829";"http://tong.visitkorea.or.kr/cms/resource/85/2046585_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/85/2046585_image3_1.jpg";"Type3";"126.5632364425";"33.2501780068";"6";"20240306170721";"3";"064-762-1949";"서귀포매일올레시장";"63591";0
"의정부시 태평로133번길 26";"(의정부동)";"31";"";"A05";"A0502";"A05020100";"1013399";"39";"20100503230255";"http://tong.visitkorea.or.kr/cms/resource/78/1022378_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/78/1022378_image3_1.jpg";"Type3";"127.0497788969";"37.7444070609";"6";"20231107132005";"25";"031-842-1129";"보영식당";"11689";0
"중구 남포길 39-2";"";"6";"";"A04";"A0401";"A04010900";"1013441";"38";"20100503232848";"http://tong.visitkorea.or.kr/cms/resource/75/1015975_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/75/1015975_image3_1.jpg";"Type3";"129.0332678339";"35.0982565918";"6";"20231116130325";"15";"";"다해정";"48954";0
"종로구 창경궁로 88";"(예지동)";"1";"";"A04";"A0401";"A04010200";"1013527";"38";"20100504001341";"http://tong.visitkorea.or.kr/cms/resource/80/1015080_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/80/1015080_image3_1.jpg";"Type3";"126.9989079502";"37.5700653137";"6";"20230223175551";"23";"";"광장시장 한복매장";"03195";0
"중구 국제시장2길 20-1";"";"6";"";"A04";"A0401";"A04010200";"1013694";"38";"20100504012112";"http://tong.visitkorea.or.kr/cms/resource/08/1015808_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/08/1015808_image3_1.jpg";"Type3";"129.0286987483";"35.0996507962";"6";"20231120144030";"15";"051-245-3156";"광복로 만물의거리";"48946";0
"서천군 서면 춘장대로151번길 35";"";"34";"";"A05";"A0502";"A05020100";"1013915";"39";"20100504025231";"http://tong.visitkorea.or.kr/cms/resource/24/1022624_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/24/1022624_image3_1.jpg";"Type3";"126.5255943590";"36.1664467348";"6";"20230524174137";"8";"041-953-7000";"바닷가횟집";"33603";0
"홍성군 서부서길418번길 49";"";"34";"";"A05";"A0502";"A05020100";"1014155";"39";"20100504195550";"http://tong.visitkorea.or.kr/cms/resource/26/1022726_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/26/1022726_image3_1.jpg";"Type3";"126.4575227298";"36.5907913004";"6";"20230202132337";"15";"041-631-3969";"갯마을회센타";"32204";0
"청주시 상당구 문의면 문의시내로 50-1";"";"33";"";"A05";"A0502";"A05020100";"1014231";"39";"20100504223021";"http://tong.visitkorea.or.kr/cms/resource/48/1022848_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/48/1022848_image3_1.jpg";"Type3";"127.4975783805";"36.5179428975";"6";"20230214173329";"10";"043-297-6754";"구룡식당";"28208";0
"무주군 무주읍 내도로 123";"";"37";"";"A05";"A0502";"A05020100";"1014287";"39";"202401181743";"http://tong.visitkorea.or.kr/cms/resource/10/1023810_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/10/1023810_image3_1.jpg";"Type3";"127.6446650253";"36.0163167003";"6";"20240118174312";"5";"063-324-2898";"강나루";"55507";0
"유성구 금남구즉로 1378";"";"3";"";"A05";"A0502";"A05020100";"1014486";"39";"20100505002808";"http://tong.visitkorea.or.kr/cms/resource/96/1023896_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/96/1023896_image3_1.jpg";"Type3";"127.3838210857";"36.4462185283";"6";"20230918141437";"4";"042-935-5842";"강태분 할머니묵집";"34003";0
"고령군 쌍림면 대가야로 691";"";"35";"";"A05";"A0502";"A05020100";"1014872";"39";"20100506190246";"http://tong.visitkorea.or.kr/cms/resource/96/1023296_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/96/1023296_image3_1.jpg";"Type3";"128.2435987180";"35.6867620687";"6";"20230602135115";"3";"054-955-1500";"대원식당";"40163";0
"구미시 공원로 26";"";"35";"";"A05";"A0502";"A05020100";"1014890";"39";"20100506192518";"http://tong.visitkorea.or.kr/cms/resource/43/1023343_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/43/1023343_image3_1.jpg";"Type3";"128.3161139596";"36.1113180289";"6";"20230605144846";"4";"054-452-5069";"버드나무백숙";"39309";0
"상주시 낙동면 영남제일로 51-8";"";"35";"";"A05";"A0502";"A05020100";"1014918";"39";"20100506195255";"http://tong.visitkorea.or.kr/cms/resource/95/1023495_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/95/1023495_image3_1.jpg";"Type3";"128.2985307832";"36.3596727651";"6";"20230816171133";"9";"054-532-4545";"낙동강한우촌";"37251";0
"성주군 가천면 가천로 113";"";"35";"";"A05";"A0502";"A05020100";"1014926";"39";"20100506200723";"http://tong.visitkorea.or.kr/cms/resource/05/1023505_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/05/1023505_image3_1.jpg";"Type3";"128.1618893598";"35.8868351497";"6";"20230518111719";"10";"054-932-4037";"꿩샤브샤브";"40060";0
"영덕군 강구면 강구대게길 21";"";"35";"";"A05";"A0502";"A05020100";"1014935";"39";"20100506201936";"http://tong.visitkorea.or.kr/cms/resource/34/1023534_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/34/1023534_image3_1.jpg";"Type3";"129.3828015420";"36.3588488400";"6";"20231005154239";"12";"054-733-3838";"대게종가";"36455";0
"영양군 입암면 영양로 883-17";"";"35";"";"A05";"A0502";"A05020100";"1014946";"39";"20100506203123";"http://tong.visitkorea.or.kr/cms/resource/46/1023546_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/46/1023546_image3_1.jpg";"Type3";"129.0815874765";"36.6084841023";"6";"20231109095221";"13";"054-682-7429";"선바위가든";"36546";0
"영천시 시장4길 52";"";"35";"";"A05";"A0502";"A05020100";"1014975";"39";"20100506204910";"http://tong.visitkorea.or.kr/cms/resource/59/1023559_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/59/1023559_image3_1.jpg";"Type3";"128.9386520321";"35.9643740146";"6";"20230224143027";"15";"054-331-3290";"산성식당";"38889";0
"예천군 용궁면 용궁로 77";"";"35";"";"A05";"A0502";"A05020100";"1015082";"39";"20100506221522";"http://tong.visitkorea.or.kr/cms/resource/72/1023572_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/72/1023572_image3_1.jpg";"Type3";"128.2736037502";"36.6076912033";"6";"20230220144403";"16";"054-652-0522";"박달식당";"36858";0
"창원시 마산합포구 동서북17길 29";"";"36";"";"A05";"A0502";"A05020100";"1017584";"39";"20100510194458";"http://tong.visitkorea.or.kr/cms/resource/26/1023026_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/26/1023026_image2_1.jpg";"Type3";"128.5783045692";"35.2062528381";"6";"20230831105211";"16";"055-221-8989";"마산전통아구찜";"51728";0
"용산구 양녕로 445";"노들섬 라이브하우스, 다목적홀 숲, 노들갤러리 2관";"1";"";"A02";"A0207";"A02070200";"1018469";"15";"20100511192951";"http://tong.visitkorea.or.kr/cms/resource/27/2992127_image2_1.png";"http://tong.visitkorea.or.kr/cms/resource/27/2992127_image3_1.png";"Type3";"126.9580520415";"37.5177178854";"6";"20240206130654";"21";"02-312-1581";"서울국제작가축제";"04427";0
"당진시 백암로 246";"(채운동)";"34";"";"A05";"A0502";"A05020100";"1018633";"39";"20100511214049";"http://tong.visitkorea.or.kr/cms/resource/00/1022600_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/00/1022600_image3_1.jpg";"Type3";"126.6253245235";"36.8920039197";"6";"20230216174233";"4";"041-353-6379";"당진제일꽃게장";"31785";0
"연서면 도신고복로 1131-7";"";"8";"";"A05";"A0502";"A05020100";"1018641";"39";"20100511220011";"http://tong.visitkorea.or.kr/cms/resource/27/1022627_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/27/1022627_image3_1.jpg";"Type3";"127.2619389220";"36.6002959171";"6";"20240320120616";"1";"044-867-3333";"산장가든";"30042";0
"중구 중구로 36";"";"6";"0";"A02";"A0203";"A02030400";"1018702";"12";"20100511223844";"http://tong.visitkorea.or.kr/cms/resource/19/1020219_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/19/1020219_image3_1.jpg";"Type3";"129.0280793175";"35.1011311741";"6";"20240305174220";"15";"";"국제시장 먹자골목";"48945";0
"밀양시 무안면 무안중앙길 5";"";"36";"";"A05";"A0502";"A05020100";"1018815";"39";"20100511231906";"http://tong.visitkorea.or.kr/cms/resource/52/1023052_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/52/1023052_image3_1.jpg";"Type3";"128.6511354975";"35.4695301155";"6";"20230216161936";"7";"055-352-0023";"동부식육식당";"50408";0
"마포구 신촌로10길 7";"(동교동)";"1";"0";"A02";"A0206";"A02060600";"1019327";"14";"20100512032632";"http://tong.visitkorea.or.kr/cms/resource/72/1021672_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/72/1021672_image3_1.jpg";"Type3";"126.9320199899";"37.5563518192";"6";"20231205165033";"13";"";"긱 라이브하우스";"04057";0
"남구 장생포고래로 135";"(장생포동)";"7";"";"A05";"A0502";"A05020100";"1019409";"39";"20100512185249";"http://tong.visitkorea.or.kr/cms/resource/08/1023908_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/08/1023908_image3_1.jpg";"Type3";"129.3695884811";"35.5017814973";"6";"20230824105012";"2";"052-261-7313";"고래고기원조할매집";"44780";0
"강화군 내가면 해안서로 917-2";"";"2";"";"A05";"A0502";"A05020100";"1019445";"39";"20100512192731";"http://tong.visitkorea.or.kr/cms/resource/22/1023922_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/22/1023922_image3_1.jpg";"Type3";"126.3755445956";"37.7007834779";"6";"20230120134818";"1";"032-933-6461";"서울횟집";"23054";0
"중구 남대문시장8길 7";"(남창동)";"1";"";"A04";"A0401";"A04010600";"1019638";"38";"20100512222456";"http://tong.visitkorea.or.kr/cms/resource/54/3064054_image2_1.JPG";"http://tong.visitkorea.or.kr/cms/resource/54/3064054_image3_1.JPG";"Type3";"126.9789656043";"37.5601494414";"6";"20231210103120";"24";"1566-4578";"삼익패션타운";"04529";0
"창녕군 창녕읍 담안길 17";"";"36";"";"A05";"A0502";"A05020100";"1019695";"39";"20100512230603";"http://tong.visitkorea.or.kr/cms/resource/72/1023172_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/72/1023172_image3_1.jpg";"Type3";"128.5481738282";"35.5153647367";"6";"20230503171444";"15";"055-521-3678";"느티나무집";"50335";0
"함안군 함안면 북촌2길 50-27";"";"36";"";"A05";"A0502";"A05020100";"1019743";"39";"20100512232844";"http://tong.visitkorea.or.kr/cms/resource/46/1023246_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/46/1023246_image3_1.jpg";"Type3";"128.4229033077";"35.2421237756";"6";"20230328100910";"19";"055-583-4026";"대구식당";"52051";0
"봉화군 봉성면 농업인길 47";"";"35";"";"A05";"A0502";"A05020100";"1019843";"39";"20100513001822";"http://tong.visitkorea.or.kr/cms/resource/84/1023484_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/84/1023484_image3_1.jpg";"Type3";"128.7722729912";"36.9017557937";"6";"20231026213918";"8";"054-674-3400";"봉화한약우프라자";"36225";0
"울릉군 울릉읍 도동2길 50-4";"";"35";"";"A05";"A0502";"A05020100";"1019879";"39";"20100513003338";"http://tong.visitkorea.or.kr/cms/resource/84/1023584_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/84/1023584_image3_1.jpg";"Type3";"130.9065654599";"37.4839900688";"6";"20230119113710";"17";"054-791-2683";"보배식당";"40222";0
"강남구 압구정로 435";"";"1";"";"A04";"A0401";"A04010600";"1021171";"38";"20100514002752";"http://tong.visitkorea.or.kr/cms/resource/12/1920612_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/12/1920612_image3_1.jpg";"Type3";"127.0449216452";"37.5270433607";"6";"20231101141523";"1";"대표번호 1877-4326";"까르띠에 메종";"06010";0
"중구 마른내로 47";"";"1";"0";"A02";"A0206";"A02060600";"1022196";"14";"20100517195655";"http://tong.visitkorea.or.kr/cms/resource/52/3077752_image2_1.JPG";"http://tong.visitkorea.or.kr/cms/resource/52/3077752_image3_1.JPG";"Type3";"126.9931808474";"37.5646797260";"6";"20240102145234";"24";"";"명보아트홀";"04549";0
"중구 소파로 138";"(예장동)";"1";"0";"A02";"A0206";"A02060600";"1022231";"14";"20100517201136";"http://tong.visitkorea.or.kr/cms/resource/29/2031929_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/29/2031929_image3_1.jpg";"Type3";"126.9882259103";"37.5587664351";"6";"20230118103749";"24";"";"남산예술센터";"04628";0
"마포구 어울마당로 35";"(서교동)";"1";"0";"A02";"A0206";"A02060600";"1022243";"14";"20100517202547";"http://tong.visitkorea.or.kr/cms/resource/99/2028299_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/99/2028299_image3_1.jpg";"Type3";"126.9200990762";"37.5484830760";"6";"20230321095128";"13";"";"롤링홀";"04048";0
"부평구 부흥로316번길 38-3";"(부평동)";"2";"";"A04";"A0401";"A04010200";"1025514";"38";"20100519232554";"http://tong.visitkorea.or.kr/cms/resource/55/1923755_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/55/1923755_image3_1.jpg";"Type3";"126.7266515056";"37.4965606664";"6";"20230823171636";"6";"032-516-0655";"부평 종합시장";"21391";0
"미추홀구 경원대로 848";"";"2";"";"A04";"A0401";"A04010600";"1030600";"38";"20100525233054";"http://tong.visitkorea.or.kr/cms/resource/79/2363079_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/79/2363079_image3_1.jpg";"Type3";"126.6903114559";"37.4577784192";"6";"20230710145053";"3";"";"석바위 지하도상가";"22144";0
"의정부시 송산로939번길 98";"(산곡동)";"31";"0";"A02";"A0203";"A02030400";"1032289";"12";"20100527012149";"http://tong.visitkorea.or.kr/cms/resource/21/2687521_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/21/2687521_image3_1.jpg";"Type3";"127.1002002199";"37.7121339517";"6";"20230425151857";"25";"";"담다헌 체험교육관";"11799";0
"옹진군 덕적면 굴업리";"";"2";"0";"A01";"A0101";"A01011300";"1032715";"12";"20100527183829";"http://tong.visitkorea.or.kr/cms/resource/80/2674880_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/80/2674880_image3_1.jpg";"Type3";"125.9908073720";"37.1973520849";"6";"20230203092535";"9";"";"굴업도";"23134";0
"강화군 강화읍 중앙로 17-9";"";"2";"";"A04";"A0401";"A04010200";"1039977";"38";"20100609192025";"http://tong.visitkorea.or.kr/cms/resource/17/1162117_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/17/1162117_image3_1.jpg";"Type3";"126.4928438212";"37.7414252440";"6";"20240311111313";"1";"032-930-7042,3";"강화 풍물시장";"23027";0
"부산진구 신천대로62번길 61";"(부전동)";"6";"0";"A02";"A0203";"A02030600";"1046349";"12";"20100619010530";"http://tong.visitkorea.or.kr/cms/resource/54/1571954_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/54/1571954_image3_1.jpg";"Type3";"129.0582863694";"35.1535758596";"6";"20231206155340";"7";"";"서면1번가";"47289";0
"강북구 노해로 13";"";"1";"";"A05";"A0502";"A05020400";"1052741";"39";"20100701021221";"http://tong.visitkorea.or.kr/cms/resource/34/1181034_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/34/1181034_image3_1.jpg";"Type3";"127.0226983297";"37.6368246468";"6";"20230807110624";"3";"02-990-0107";"가문";"01080";0
"용인시 기흥구 보정동";"";"31";"0";"A02";"A0203";"A02030600";"1053905";"12";"20100702203050";"http://tong.visitkorea.or.kr/cms/resource/77/2431777_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/77/2431777_image3_1.jpg";"Type3";"127.1101326397";"37.3212267380";"6";"20240104135343";"23";"";"보정동카페거리";"16897";0
"곡성군 곡성읍 곡성로 855";"(곡성읍)";"38";"0";"A02";"A0206";"A02060600";"1054221";"14";"20100703001505";"http://tong.visitkorea.or.kr/cms/resource/43/3026943_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/43/3026943_image3_1.jpg";"Type3";"127.2971596157";"35.2801301942";"6";"20231027170703";"3";"";"곡성레저문화센터";"57535";0
"서천군 기산면 화출길42번길 17";"";"34";"0";"A01";"A0101";"A01010700";"1055310";"12";"20100706021411";"http://tong.visitkorea.or.kr/cms/resource/73/3043873_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/73/3043873_image3_1.jpg";"Type3";"126.7692859379";"36.0774194200";"6";"20231120115230";"8";"";"서천식물예술원";"33628";0
"목포시 해안로 265-4";"";"38";"";"A04";"A0401";"A04010200";"1057716";"38";"20100709235937";"http://tong.visitkorea.or.kr/cms/resource/86/2043486_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/86/2043486_image3_1.jpg";"Type3";"126.3901047299";"34.7878593595";"6";"20230321105221";"8";"";"목포 종합수산시장";"58752";0
"가평군 북면 백둔로 322";"";"31";"0";"A02";"A0206";"A02060500";"1060264";"14";"20100715224914";"http://tong.visitkorea.or.kr/cms/resource/83/1591283_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/83/1591283_image3_1.jpg";"Type3";"127.4722273608";"37.9044989120";"6";"20240124101130";"1";"";"남송미술관";"12406";0
"유성구 노은동로 126";"(노은동)";"3";"0";"A02";"A0206";"A02060100";"1066804";"14";"20100802192129";"http://tong.visitkorea.or.kr/cms/resource/06/3032106_image2_1.JPG";"http://tong.visitkorea.or.kr/cms/resource/06/3032106_image3_1.JPG";"Type3";"127.3238951378";"36.3718398688";"6";"20231106160916";"4";"";"대전선사박물관";"34084";0
"제주시 사라봉동길 61";"(건입동)";"39";"0";"A01";"A0101";"A01010400";"1069144";"12";"20100805030515";"http://tong.visitkorea.or.kr/cms/resource/99/3053499_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/99/3053499_image3_1.jpg";"Type3";"126.5461513246";"33.5176259547";"6";"20240115134006";"4";"";"사라봉";"63284";0
